;text;sentFator
207;$PETR3 - Petrobras (petr) - Ago/e - 02/04/2014 - 15h - Distr. De Jcp / Aumento Do Capital http://t.co/vfiIT5AhIW;Neutro
211;opa, #VALE5 voltando a operar abaixo dos R$27,70 ! De zóio galera !;Positivo
213;Maiores Altas: ELET3 +9,84% | LLXL3 +9,78% | PETR4 +8,13% | RSID3 +7,84% | PETR3 +7,55%.;Neutro
214;PETR4 fechou na máxima!!!;Positivo
215;Ativo c/ vol Financeiro Superior à sua MM21-14h: GOAU4 IFNC IGTA3 INDFUT ISEE ITUB4 LLXL3 MMXM3 MPLU3 MULT3 OIBR3 OIBR4 PETR3 PETR4 PTBL3;Neutro
216;Análise técnica completa para o pregão de hoje na @Info_BMFBOVESPA  sobre a empresa @petrobras (PETR4) http://t.co/UK8fQ0a7RC;Neutro
217;VOLTEI! Após uma semana de férias no Rio, tô de volta. E já entrei em VALE5 a $27,63, com lançamento VALEE29, exerc. $28,70. Ô trem bão!;Positivo
218;#SortedoDia: ter perdido a alta de mais de 8% num único dia da $PETR4 semana passada, mas ter realizado isso em apenas 4 dias úteis.;Positivo
220;$LIGT3 - Light S/a (ligt-nm) - Alteracao Do Calendario De Eventos Corporativos http://t.co/XjNJgpnqcw;Neutro
222;A última indicação da #MRVE3 resultou em 2.08 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Positivo
223;A última indicação da #MRVE3 resultou em -1.22 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Neutro
229;#vale5 Rafael, está lá!!!! No Obj!!!! se segurou até aqui parabéns!!! RT @rafaelsim78: @Live_Trade qual o seu objetivo?;Neutro
231;OGX tem 40%  de Piapara, pré sal, Bloco BS-4.Localiza-se próximo às descobertas gigantes Libra e Franco, e Tb a recente descoberta da Petr4;Neutro
234;09/05/14 - 17:19: Maiores Baixas: ELET3 -7,31% R$6,97, ELET6 -5,43% R$10,10, OIBR4 -4,95% R$2,11, JBSS3 -3,38% R$7,73, GOLL4 -2,87% R$13,54.;Neutro
235;Prumo Logística, ex-LLX, anuncia prejuízo de R$ 135,8 milhões em 2013: A Prumo Logística, ex-LLX (LLXL3), divu... http://t.co/LwmlKPqssk;Negativo
236;Ações que ajudaram na alta de hoje do IBOV: Petr3, +3,25%, Petr4, +2,71%, BBDC4, +2,79%, ITUB, +2,90%. SANB11, +2,81%, BBAS3, +0,58%...;Positivo
237;DESTAQUE - Resultados B2W (BTOW3), CCR (CCRO3) e Americanas (LAME3). Leia as analises http://t.co/sEwXBRgrrM;Neutro
238;Boeing novinho na frota da gol!!! Está valendo a pena investir em goll4! Rsrs parabéns @VoeGOLoficial http://t.co/MXGHUqK3db;Positivo
241;"Essa #KROT3 é um mistério. Tenho a olhada de perto desde os R$ 35. Papel bem alugado mas não cede nunca!
@ferrisss";Neutro
246;Conheça a queridinha do Ibovespa, papel é recomendado 15 vezes. Chama-se VALE5. Uma empresa com fundamentos, produtiva e rentável.;Positivo
247;"@PedroCerize https://t.co/TRZN6adp88

Tem tudo ai,compraram em 2010 petr3,bbas3";Neutro
250;RT @joanarauhl: o afonso anda meio desaparecido;Neutro
251;"INTRADAY PETR4: Suportes 12,97 e 13,15 e resistências 13,56 e 13,79
INTRADAY VALE5: Suportes 26,37 e 26,73 e resistências 27,70 e 28,31";Neutro
255;Ativo c/ vol Financeiro Superior 1,5 X à sua MM21-16h: MMXM3 MPLU3 MRFG3 MULT3 OIBR3 OIBR4 PETR3 PETR4 PTBL3 SANB11 SMTO3 SUZB5 TCSA3;Neutro
256;$ELET3 - Eletrobras (elet-n1) - Demonstracoes Financeiras De 31/12/2013 (cons) http://t.co/94fk4X66p1;Neutro
257;Ações de estatais: Elet3, +2,73%, Elet6, +0,91%, Petr3, +0,19%, Petr4, +0,12%, e Bbas3, estável...;Positivo
262;Desempenho das ações do Itaú Unibanco na semana passada:na Bovespa - ITUB4:3,31% e ITUB3: 3,40%,na NYSE - ITUB: 4,10%,Índice Bovespa:2,64%.;Positivo
268;Cade coragem pra fazer um DT na #VALE5 aí na casa dos 26,46, do jeito que as coisas andam é um stop na certa.. =/ sigo observando.;Negativo
269;RT @Rivanews: Nessa sexta-feira #HGTX3 registrou seu décimo pregão em baixa, veja o gráfico. http://t.co/tdAlWhXqy9;Neutro
271;Presidente da #PETR4 dizer que compra da refinaria de pasadena não foi um bom negócio é palhaçada. Mau negócio é ter que aturar ela.;Negativo
276;"Notas gerais

A BRF (BRFS3) concluiu e encerrou seu programa de compra de um milhão de ações da companhia em... http://t.co/C1gY13dUJ4";Neutro
279;"Quiserem favoritar, fiquem a vontade:
Vendam CIEL3 daqui a 90 dias.";Neutro
280;Fim do repique? 9 ações ignoraram a queda da Bovespa nesta 5ª, Vale é uma delas: Liderando o... http://t.co/fhxzocQxxl #infomoney #vale5;Negativo
281;Em 31.05.2004 Petrobras PN - PETR4 estava a R$ 7,20 - Bovespa - http://t.co/ASPBmyoBSk http://t.co/YpKzyffh4h @stanleyburburin;Neutro
284;Rastreamento ações-Gráfico diário-14h. Analise se romper:  TBLE3 34,28 VIVT4 47,56;Neutro
286;PETR4 sobe 8% e a gremistada preocupada com o contrato das estruturas temporárias ... Vida injusta essa!;Negativo
287;@Live_Trade MT, tá em vale5 tb? Grato;Neutro
289;“@topBovespa: BM&amp,FBovespa (#BVMF3) fecha em 12 de junho e encurta pregão em demais dias de jogos do Brasil. http://t.co/HS87wJaVfG;Negativo
290;“@klarivasquez: “@omgthatspunny: http://t.co/tRCByRkKm0” @vikki_cruz3”;Neutro
291;Vale5, gráfico diário. Fechamento em R$ 27.50 com queda de 0.40%. http://t.co/teN2kAKcdv;Neutro
293;#VALE5 - Análise #Ichimoku - pregão de sexta-feira, 23 de maio. http://t.co/usO61aC927;Neutro
294;Ativo c/ vol Financeiro Superior à 1,5 X sua MM21-16h: AUTM3 BBRK3 BOVA11 BPHA3 ELET6 EQTL3 GRND3 QUAL3 SHOW3 USIM5;Positivo
295;#BRPR3: no gráfico diário, rompeu LTB c/ volume 300% acima da média e fechando o dia na máxima. #Whoknows ? http://t.co/llxxH56oBs;Positivo
296;Metade dos traders do Brazil trocando figurinhas da Copa. Por isso que a PETR4 nao sobe....;Negativo
297;fundo duplo ALSC3 , OCOI DAYC4, LLIS3,EMBR3;Negativo
298;OIBR4 vai abrir bombando!!! Fiquem atentos!!!;Neutro
299;PETR3 vender por R$ 13,21 indicado em 19/02/2014 10:11 http://t.co/zJRs3Eeyz9;Neutro
301;#ITUB4: o banco informou que foi aprovada em assembleia geral extraordinária a elevação do capital social, de R$... http://t.co/w8OwPWtY7x;Positivo
302;Rastreamento ações-Gráfico diário-16h. Analise se romper: SBSP3 21,24 VLID3 34,99  TUPY3 18,65;Neutro
311;#PETR4 R$13,68 ! o.O (3 dias seguidos de arrancada já !);Positivo
313;RT @ativacorretora: Análises técnicas para IBOV, S&amp,P500, PETR4, VALE5, ABEV3, VIVT4, CMIG4, NATU3, ITUB4, PDGR3 e GGBR4  http://t.co/5cppN3…;Neutro
320;RT @lambari_trader: PETR4 a $`13,13! Homenagem perfeita  da Petrobrás à competência e honestidade com que o PT vem administrando a empresa …;Negativo
323;RT @SouCalmo: @Ary_AntiPT mesmo pq pegando os gatunos da Petr4 e MS, o Lula vem de brinde..;Negativo
326;#GGBR4 confirmando venda?!;Positivo
328;@Live_Trade olha MRFG3...o quê acha dessa figura?;Neutro
331;$BBDC3 - Bradesco (bbdc-n1) - Demonstracoes Financeiras De 31/12/2013 (individual) http://t.co/Mh92PHzdlD;Neutro
333;Rastreamento ações-Gráfico diário-12h. Analise se romper:  BBDC3 30,37 Ativo c/ vol Financeiro Superior à sua MM21-12h: ALPA4 PFRM3;Neutro
334;"A LIGHT S.A. fechou o dia de ontem ao preço de R$ 18,91 (+2,77%) com volume de R$ 28,68 mm.
$LIGT3";Positivo
336;Venda em ggbr4 no semanal foi acionada!;Positivo
338;#OIL #BR #PETR4 Conselho da Petrobras aprova balanço de 2013, 1 voto contra:  http://t.co/m9siDgEHTZ;Positivo
340;$NATU3 - Natura (natu-nm) - Demonstracoes Financeiras De 31/12/2013 (individual) http://t.co/OK18gecr8L;Neutro
341;OIBR4 dispara com Minoritários tentando barrar fusão com Portugal Telecom http://t.co/pYPtSzga8g;Neutro
342;Rastreamento ações-Gráfico diário-14h. Analise se romper: ECOR3 13,87 GRND3 15,97 INDX 11620,20 JBSS3 8,04 LIGT3 19,25 RENT3 33,14;Neutro
345;"INTRADAY PETR4: Suportes 15,26 e 15,47 e resistências 15,97 e 16,26
INTRADAY VALE5: Suportes 29,14 e 29,41 e resistências 29,96 e 30,24";Neutro
346;Esse caso da refinaria de Pasadena merece mais atenção. Principalmente considerando q a Sra. Dilma estava a frente do conselho da #PETR4.;Negativo
348;#MRFG3 resistencia semanal em R$4,37 !;Neutro
350;$ELET3 - Eletrobras (elet-n1) - Material A Disp. (indic. De Candidatos A Membros Do Ca) http://t.co/myIM01vKEt;Neutro
351;"RT @R4Investimentos: Petrobras: Polícia Federal apreende documentos
Na última sexta-feira, a PETROBRAS (PETR4) recebeu ordem judicial... ht…";Negativo
352;$BBAS3 - Banco Do Brasil (bbas-nm)- Dfs Consolidadas De 31/03/2014 http://t.co/VoH5wuvaMP;Neutro
356;JBSS3 comprar a R$ 7.57 indicado em 18/03/2014 15:23 e finalizou a venda com resultado de R$ -0.13 ou -1.72 % http://t.co/kgt1YiTbF7;Neutro
357;IBOVESPA, c/dados ruins da CHINA sofre maior pressão de bx, das ações da Vale, q representam 11,78% do índice: VALE3, -3,04% e VALE5, -2,80%;Negativo
358;@ferrisss @deSimoni123  como chama seu amigo que comprou petr4 a 12,50? Mister M? Aposto que ele vendeu na maxima hj a 17,07, mágico.;Positivo
360;IBOVESPA sobe 0,91%, com ajuda de PETRO, VALE e muitas outras líderes. Poucas no vermelho, como por exemplo: ABEV3, CCRO3, CIEL3, BTOW3...;Positivo
361;$PETR3 - Petrobras (petr) - Material De Apresentacao http://t.co/TG5VWSRtz1;Neutro
362;@Ary_AntiPT mesmo pq pegando os gatunos da Petr4 e MS, o Lula vem de brinde..;Negativo
370;No Gov PT #Petrobras é pau p/ toda obra, desde dar cargos até fazer política antiinflacionária. Só não é vista como uma empresa. #PETR4;Negativo
373;#PETR4 já deu entrada e deu 1% Trade fechado!;Positivo
374;Bbas3, gráfico diário. Fechamento em R$ 22.51 com forte alta de 6.63%. http://t.co/M02zLQ43A1;Positivo
375;RT @Ricamconsult: Há 6 anos, a #PETR4 valia R$510 bilhões. Hoje, vale R$165 bilhões e tem R$300 bilhões em dívidas. http://t.co/KZ7ujAkKYn;Negativo
376;Curso de aplicação na bolsa de valores Probabilidades da PETR4 VALE5 DJI e EURUSD 16 03 14: http://t.co/6FJwSFd7d3 via @YouTube;Neutro
377;No diário #VALE5 deixou a tendência de baixa para trás mas permanece tendo problema com a #MediaROCK - Leia mais em http://t.co/eMq6N9TOJC;Neutro
378;VALE5 nao passa de 29,90;Neutro
379;@Live_Trade Olá Marcos, como vc vê #vale5?;Positivo
381;A última indicação da #MRVE3 resultou em 0.38 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Neutro
382;A última indicação da #ELPL4 resultou em 11.43 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Neutro
386;"kkkk Coro de P**a  RT @garimpodeacoes: Quem puxa para valer o IBOVESPA para cima é a Petrobrás. 
Petr3, +2,09% e Petr4, +2,28%";Positivo
389;RT @chrinvestor: Ontem o minério de ferro subiu 4%, alcançando os US$116,80. Expectativa é de que sejam anunciados estímulos na economia ch…;Positivo
390;$GGBR4 - GERDAU (GGBR4) pretende fazer troca de títulos de dívida http://t.co/JWdaIg9ZVI;Positivo
395;primeiro teste da resistência e ela foi forte e segurou. Vai de novo ? #PETR4;Positivo
400;3 ações dividem posto de mais recomendadas desta semana, veja quais: Os papéis da Ambev (ABEV3), Gerdau (GGBR4) e... http://t.co/xjh9Jnep91;Positivo
402;#PETR4 e sua famosa LTB! http://t.co/C6vF1WdgF2;Negativo
404;A última indicação da #PDGR3 resultou em 11.36 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Neutro
408;Vale pegando gripe da China… uma borboletinha bate asas na China e vira um furacao no porto da Vale5…;Negativo
409;#ELET3 Suportes e resistências http://t.co/juDMDBysvA;Neutro
411;Vem q vem q vem com tudo RT @BrazilFinance: PETR4 +6,5% -&gt, VEM CPI SUA LINDA;Positivo
415;RT @brunzselfie: Eu finjo estar bem como as pessoa fingem se importar comigo;Negativo
416;@chrinvestor @TraderBolsa @picapautrader Valor de mercado do #Facebook #FB é maior do que da #Petrobrás PETR4 http://t.co/fvrM2s4hzC;Neutro
418;$AEDU3 - Anhanguera (aedu-nm)  - Material De Apresentacao http://t.co/Xs4zxX1tsh;Neutro
421;Foi bom ter dado uma 'bicada' em VALE5 ontem. Tá barata demais pra ser ignorada.;Positivo
428;A última indicação da #MRVE3 resultou em 1.51 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Positivo
430;#EMBR3 - África e Oriente Médio vão encomendar 530 jatos até 2034, diz Embraer - http://t.co/IC95fnGo6k;Positivo
431;@rosadesaron Boa noite pessoal! Gostaria de saber quando vocês vem para a região do Cariri Cearense! Muito obrigado e saudações rosarianas!;Positivo
433;@ferrisss Agora vc não pode negar e viu eu postar petr4 a 12,50, mmxm3 a 3,34, artr3 ecor3 e tantas outras entradas e objetivos;Negativo
436;Quanto mais a Graça Foster fala.. menor fica o valor da nossa Petrobras.  PETR4 &gt, http://t.co/WxnN4AOaKT // PETR3 &gt, http://t.co/4n6C0sqNDf;Negativo
437;"Aproveitem pra comprar PETR4 enquanto está na baixa!
Vai subir logo, logo! O que eu pude comprar, eu comprei!... http://t.co/u5fEHbSAek";Positivo
441;$ELET3 - Eletrobras (elet-n1) - Criacao Da Diretoria De Regulacao http://t.co/H9uC5PrF4F;Positivo
442;Acabei de analisar BVMF3, ITUB4, PDGR3, PETR4, USIM5 e VALE5 no INVISTA EM AÇÕES. Confira na seção de Análises http://t.co/LNFxOOww7g;Neutro
443;@ferrisss ...vc não acha interessante o fato de que o Itau está comprando toda PETR4 que o ML está vendendo.. ?;Neutro
446;"A LIGHT S.A. fechou a sexta-feira, dia 04/04, ao preço de R$ 18,83 (+0,16%) com volume de R$ 20,51 mm.
$LIGT3";Neutro
447;Uma das corretoras q mais compraram a ação PETR4 da Petrobras:'Dados recebidos em: 28/03/2014 17:03: Goldman Sachs'- http://t.co/Ok8BMpSrZw;Neutro
448;Empresas de pagamento e tranf. de recursos terão grandes desafios nos próximos anos... @chrinvestor Abre o olho #CIEL3;Neutro
450;Na #USIM5 ontem fizemos Sub Onda 5 e Onda 3 de fundo essa Onda 3 ainda pode buscar 7,11 acima de 8,47 alvos 9,47 9,93 http://t.co/VcGz5hxvtS;Neutro
452;#petr4 King Kong segurou...hummmm observo p/ entrada;Neutro
454;RT @bobdevonne: COMO É BOM SER V1D4 L0K4 @lunaashipper http://t.co/pU4PHRbHEg;Positivo
455;@resantosformiga CVM decidiu dar poder aos controladores na AGE q examinará o valor dos ativos da Portugal Tel. OIBR -9,75% e TIMP3 +4,89%;Neutro
459;Petrobrás Pn (PETR4), Gráfico Diário. Ativo reage ... http://t.co/zDGdcritMa;Neutro
462;$HGTX3 - Cia Hering (hgtx-nm) - Alteracao Do Calendario De Eventos Corporativos http://t.co/za6C2Ivjox;Neutro
464;10/04 O Ibovespa fechou em queda de -0,11%, aos 51.127pts. Destaques: OIBR4 -6,67%, AEDU3 -5,90% e RSID3 -5,23%. http://t.co/j9yUOf2ipY;Neutro
467;RT @daltonvieira: Ações ex-dividendos hoje: ARTR3, AUTM3, LEVE3, HGTX3, RDNI3, VIVT3 e VIVT4. Cotações históricas ajustadas. Saiba mais htt…;Neutro
469;Maiores Altas: LLXL3 +7,79% | OIBR4 +6,14% | JBSS3 +6,11% | RSID3 +5,67% | ELET3 +4,83%.;Neutro
471;"INTRADAY PETR4: Suportes 13,00 e 13,14 e resistências 13,58 e 13,88
INTRADAY VALE5: Suportes 27,44 e 27,77 e resistências 28,67 e 29,24";Neutro
479;EM TEMPO REAL: Gol dispara mais de 5%, Usiminas sobe após mais um banco indicar compra: Acom... http://t.co/YICDFnYOqK #infomoney #vale5;Neutro
480;Rastreamento ações-Gráfico diário-11h. Analise se romper: ALLL3 8,04 CRUZ3 21,19 CSAN3 37,27 PETR3 15,46 SBSP3 21,24;Positivo
484;"#GGBR4
Vale ficar de olho comparando sempre o semanal.";Neutro
487;RT @Fascinatingpics: Bora Bora http://t.co/NTtHRMzGlq;Neutro
488;#PETR4 indo no mesmo caminho da #OGXP3 http://t.co/jTNm4sfjJY;Negativo
491;R$14,70 se aproximando. De olho na #PETR4 galera !!;Positivo
492;@TadeLucero @Juan_Cruz3 nada nada;Neutro
493;Vice do Bradesco entra para o conselho da Vale, mais 3 empresas agitam a noite: Maior gestor... http://t.co/8UfJ7jaUiO #infomoney #vale5;Neutro
497;RT @ClaudioDeLucca: Greve dos investidores, ninguém envia ordens amanhã e depois, pela volta da #OGXP3 a R$ 18, #PETR4 nos 40 e #VALE5 nos …;Neutro
499;#ibovespa #OIBR4 que isso?! Os papéis estão derretendo!;Negativo
500;Publiquei novos estudos gráficos de ações #TAEE11, #ETER3, #BRSR6, #TOTS3, #BVMF3, #CCRO3, #LREN3, #ALLL3, #IGTA3 http://t.co/oRA4bA8Qye;Neutro
501;Rastreamento ações-Gráfico diário-16h. Analise se romper: ICON 2242,21 KROT3  43,95 PSSA3 32,11 43,95;Positivo
502;MRVE3 comprar a R$ 7.12 indicado em 18/03/2014 12:20 e finalizou a venda com resultado de R$ 0.74 ou 10.39 % http://t.co/kgt1YiTbF7;Neutro
504;Compra de GOLL4, Venda de ENBR3 e BBRK3 - 27/05/2014 http://t.co/wNeJrN102b;Neutro
506;ahhh, e lembram que a #PETR4 estava abaixo da média de 200 MESES ... pois então, voltou pra cima ! =) (+- nos R$13,38);Positivo
508;RT @tiago_patacas: revelas-te;Negativo
511;Algo me diz que vou ver a #PETR4 na casa dos 12 hoje ainda.. vamos aguardar.. :);Positivo
