text,texto_unido,sentFator
"stf adiou o julgamento do caso dos bancos. problema não resolvido, apenas postergado. enquanto não resolver, não entro em itub4 nem bbas3.","stf adiar o julgamento do casar dos banco . problema não resolver , apenas postergar . enquanto não resolver , não entrar em itub4 nem bbas3 .",Negativo
"de fato, a alta de ontem no after market sinalizou uma pequena melhora em vale5 hoje, ao menos na abertura.","de fato , o alto de ontem o after market sinalizar umar pequeno melhorar em vale5 hoje , ao menos o abertura .",Neutro
$petr3 - petrobras (petr)- candidatos ind. pelos acionistas nao controladores p. ca e cf http://t.co/3ikzgdwt6j,$ petr3 - petrobras ( petr ) - candidato ind . pelos acionistas nao controlador p. ca e cf http : //t.co/3ikzgdwt6j,Neutro
"@denissito @fernandocesar77 @blogdonoblat ações petr3 e 4 valorizaram 12% no mês, desde início perseguição tucana. brigaduu @rede_globo","@ denissito @ fernandocesar77 @ blogdonoblat ações petr3 e 4 valorizar 12 % o mês , desde início perseguição tucana . brigaduu @ rede_globo",Positivo
kroton on (#krot3) é a ação que mais se valorizou no 1º trimestre. http://t.co/1usfwwimw0,kroton on ( # krot3 ) ser o ação que mais se valorizar o 1º trimestre . http : //t.co/1usfwwimw0,Neutro
"rt @sonaquelaa: já estou é a criar demasiadas expectativas, tenho que parar, senão vai correr mal outra vez","rt @ sonaquelaa : já estar ser o criar demasiar expectativa , ter que parar , senão ir correr mal outro vez",Positivo
"no momento petr4 respeita o suporte de r$15,42.","o momento petr4 respeitar o suportar de r $ 15,42 .",Neutro
"rastreamento ações-gráfico diário-14h. analise se romper:beef3 10,52 brap4 21,55 cesp6 27,77 elpl4 9,18 enbr3 10,59  igta3 22,08 ligt3 19,05","rastreamento ações-gráfico diário-14h . analisar se romper : beef3 10,52 brap4 21,55 cesp6 27,77 elpl4 9,18 enbr3 10,59 igta3 22,08 ligt3 19,05",Neutro
a última indicação da #itub4 resultou em 0.14 %. confira a nova indicação agora em http://t.co/kgt1yitbf7,o último indicação da # itub4 resultar em 0.14 % . conferir o novo indicação agora em http : //t.co/kgt1yitbf7,Neutro
resultado corporativo da #tractebel (tble3). confira a nossa visão sobre os dados divulgados pela empresa. http://t.co/wifhnsopqt,resultar corporativo da # tractebel ( tble3 ) . conferir o nosso visão sobrar o dar divulgar pelar empresar . http : //t.co/wifhnsopqt,Neutro
"petrobras surpreende: novo recorde no pré-sal

a petrobras (petr4) informou ontem à noite, após o fechamento do... http://t.co/todudkd8df","petrobras surpreender : novo recordar o pré-sal o petrobras ( petr4 ) informar ontem à noite , após o fechamento do ... http : //t.co/todudkd8df",Neutro
a última indicação da #gfsa3 resultou em 13.84 %. confira a nova indicação agora em http://t.co/kgt1yitbf7,o último indicação da # gfsa3 resultar em 13.84 % . conferir o novo indicação agora em http : //t.co/kgt1yitbf7,Neutro
que linda era esa mina chabonnn,que lindo ser esa minar chabonnn,Neutro
ativo c/ vol financeiro superior à sua mm21-16h: lren3 mglu3 mils3 mrve3 pine4 slce3 suzb5 usim3 usim5,ativo c/ vol financeiro superior à suar mm21-16h : lren3 mglu3 mils3 mrve3 pine4 slce3 suzb5 usim3 usim5,Neutro
"encerramos hering (hgtx3) com 4,99% de prejuízo. o ibov continua correção porém a carteira do mb-eod-1 está... http://t.co/tzeyyhgve2","encerrar hering ( hgtx3 ) com 4,99 % de prejuízo . o ibov continuar correção porém o carteiro do mb-eod-1 estar ... http : //t.co/tzeyyhgve2",Negativo
"a light s.a. fechou o dia de hoje, ao preço de r$ 18,27 (-1,93%) com volume de r$ 22,94 mm.
$ligt3","o light s.a. fechar o dia de hoje , ao preço de r $ 18,27 ( -1,93 % ) com volumar de r $ 22,94 m . $ ligt3",Neutro
conheça as empresas que mais pagam dividendos no ibovespa: o santander (sanb11) é a empresa com o maior dividend... http://t.co/ixczn72ekr,conhecer o empresar que mais pagar dividendo o ibovespa : o santander ( sanb11 ) ser o empresar com o maior dividend ... http : //t.co/ixczn72ekr,Neutro
#ibov #vale5 minério de ferro na china recua à mínima de 20 meses: http://t.co/sfisqgtvoz,# ibov # vale5 minério de ferrar o chino recuar à mínimo de 20 mês : http : //t.co/sfisqgtvoz,Negativo
@andresmoraes isso sem contar os 30% da #petr4 ... o.o,@ andresmoraes isso sem contar o 30 % da # petr4 ... o.o,Negativo
"tempo real: petrobras, eletrobras e bb despencam, vale sobe mais de 1%: acompanhe aqui a atu... http://t.co/zyp5exzvbh #infomoney #vale5","tempo real : petrobras , eletrobras e b despencar , valer subir mais de 1 % : acompanhar aqui o atu ... http : //t.co/zyp5exzvbh # infomoney # vale5",Neutro
$petr4 - petrobras: produção é prioridade no momento [newsletter advfn] http://t.co/gsfivoj2pd,$ petr4 - petrobras : produção ser prioridade o momento [ newsletter advfn ] http : //t.co/gsfivoj2pd,Neutro
eu não mereço #petr4 #petr3 #cpidapetrobras http://t.co/0lj5to6awp,eu não merecer # petr4 # petr3 # cpidapetrobras http : //t.co/0lj5to6awp,Negativo
operação comentada na sexta sobre itub4 x bbdc4 caminhando na direção esperada!,operação comentar o sexto sobrar itub4 x bbdc4 caminhar o direção esperar !,Positivo
"análises de resultados 4t13 - brml3, flry3, mrve3, scar3,suzb5 por ativa, concódia, coinvalores e xp em boletins.http://t.co/qwst2t7ucy","análise de resultar 4t13 - brml3 , flry3 , mrve3 , scar3 , suzb5 por ativa , concódia , coinvalores e xp em boletins.http : //t.co/qwst2t7ucy",Neutro
"as lojas renner (lren3) registrou lucro líquido consolidado de r$ 50,9 milhões (r$ 0,40 por ação) no primeiro trimestre de 2014, cresciment…","o loja renner ( lren3 ) registrar lucrar líquido consolidar de r $ 50,9 milhão ( r $ 0,40 por ação ) o primeiro trimestre de 2014 , cresciment…",Positivo
"28/04 o ibovespa fechou estável, aos 51.395pts. destaques: goll4 +4,04% e oibr4 -5,98%. http://t.co/j9yuof2ipy","28/04 o ibovespa fechar estável , aos 51.395pts . destaque : goll4 +4,04 % e oibr4 -5,98 % . http : //t.co/j9yuof2ipy",Neutro
"antecipamos aqui que itub4 passaria petr4 em peso no ibov. hoje está saindo noticias confirmando. 
@ferrisss @dfittarelli",antecipar aqui que itub4 passar petr4 em pesar o ibov . hoje estar sair noticiar confirmar . @ ferrisss @ dfittarelli,Positivo
a última indicação da #mrve3 resultou em -3.25 %. confira a nova indicação agora em http://t.co/kgt1yitbf7,o último indicação da # mrve3 resultar em -3.25 % . conferir o novo indicação agora em http : //t.co/kgt1yitbf7,Neutro
rt @joanarauhl: a joana ta viciadinha num jogo,rt @ joanarauhl : o joana ta viciadinha num jogar,Negativo
isto não é uma vaca é a petrobrás!!! #petr4 http://t.co/qlmpmdifmj,isto não ser umar vacar ser o petrobrás ! ! ! # petr4 http : //t.co/qlmpmdifmj,Negativo
análise técnica para #vale (vale5) do mês de abril. http://t.co/eurzrfndgv,análise técnico parir # valer ( vale5 ) do mês de abril . http : //t.co/eurzrfndgv,Positivo
rt @navarro: olha a #petr4 ai... leia 'dívida da petrobras aumenta seis vezes desde 2007 e atinge r$ 268 bilhões'  http://t.co/apkxycxtsr,rt @ navarro : olhar o # petr4 ai ... ler 'dívida da petrobras aumentar seis vezar desde 2007 e atingir r $ 268 bilião ' http : //t.co/apkxycxtsr,Negativo
e tem início o leilão da #petr4 ! de olho na abertura. =),e ter início o leilão da # petr4 ! de olhar o abertura . = ),Positivo
$aedu3 - anhanguera (aedu-nm) - esclarecimentos http://t.co/uys0dao6m1,$ aedu3 - anhanguera ( aedu-nm ) - esclarecimento http : //t.co/uys0dao6m1,Neutro
$elet3 - eletrobras (elet-n1)- material a disposicao (indicacao de candidatos) http://t.co/yixx3mnjio,$ elet3 - eletrobras ( elet-n1 ) - material o disposicao ( indicacao de candidato ) http : //t.co/yixx3mnjio,Neutro
8 corretoras apontam as melhores ações para comprar nesta semana: os papéis da vale e do pão... http://t.co/byqalss0ob #infomoney #vale5,8 corretora apontar o melhorar ações parir comprar nesta semana : o papel da valer e do pão ... http : //t.co/byqalss0ob # infomoney # vale5,Neutro
"rt @valoramais: #petr4 mais uma 'ótima' notícia para a petrobomba!!! rumo ao 0,01 http://t.co/haw8wgnzkp","rt @ valoramais : # petr4 mais umar 'ótima ' notícia parir o petrobomba ! ! ! rumar ao 0,01 http : //t.co/haw8wgnzkp",Negativo
"e aí amigos, tá bom de comprar petr4 agora ou ainda cai mais um pouco (muito)?","e aí amigo , tá bom de comprar petr4 agora ou ainda cair mais um pouco ( muito ) ?",Neutro
"@live_trade @jgrafista11 @aecioneto amigos, vêem venda na aedu3? obg","@ live_trade @ jgrafista11 @ aecioneto amigo , ver vender o aedu3 ? obg",Neutro
"vale5 em 04/04, tempo gráfico de 60 minutos. http://t.co/vpgt0cb6qy","vale5 em 04/04 , tempo gráfico de 60 minuto . http : //t.co/vpgt0cb6qy",Neutro
$cyre3 - cyrela realt (cyre-nm) - demonstracoes financeiras de 31/03/2014 (cons) http://t.co/xj0giprnln,$ cyre3 - cyrela realt ( cyre-nm ) - demonstracoes financeiro de 31/03/2014 ( cons ) http : //t.co/xj0giprnln,Neutro
"rt @inutiliumx: olha lá, @ferris !! a gente aqui da gestora jogamos a jbss3 lá na mínima !! eu cantei a pedra ontem !! vamos recomprar lá n…","rt @ inutiliumx : olhar lá , @ ferris ! ! o gente aqui da gestor jogar o jbss3 lá o mínimo ! ! eu cantar o pedrar ontem ! ! ir recomprar lá n…",Positivo
"#ibovespa opera em queda de 0,27%, aos 51.973 pontos. puxam o índice para baixo: #petr4, vale3, #ogxp3.","# ibovespa operar em quedo de 0,27 % , aos 51.973 ponto . puxar o índice parir baixar : # petr4 , vale3 , # ogxp3 .",Neutro
#petr4 a jovenzinha tá preocupada..rsrsrs  dilma tem encontro reservado com ministro do tcu. http://t.co/sgpowh0ay6,# petr4 o jovem tá preocupar .. rsrsrs dilma ter encontrar reservar com ministrar do tcu . http : //t.co/sgpowh0ay6,Positivo
#bovespa #suzb5 suzano papel e celulose publica suas demonstrações financeiras anuais de 2013.  http://t.co/xnawhpg9zu,# bovespa # suzb5 suzano papel e celulose publicar suar demonstração financeiro anuir de 2013. http : //t.co/xnawhpg9zu,Neutro
@ferrisss qual sua previsão para oibr4?,@ ferrisss qual suar previsão parir oibr4 ?,Neutro
$fibr3 - fibria (fibr-nm)- demonstracoes financeiras em ingles de 31/03/2014 http://t.co/lqafhhsv5y,$ fibr3 - fibria ( fibr-nm ) - demonstracoes financeiro em ingles de 31/03/2014 http : //t.co/lqafhhsv5y,Neutro
"#petr4 #petrobras a $13,13. pronto! o #pt conseguiu fazer propaganda eleitoral antecipada o que a @dilmabr tem a dizer sobre isso? @ptbrasil","# petr4 # petrobras o $ 13,13 . pronto ! o # pt conseguir fazer propaganda eleitoral antecipar o que o @ dilmabr ter o dizer sobrar isso ? @ ptbrasil",Negativo
"ótima postagem sobre #petr4 pelo usuário pridom no fórum da #advfn

$petr4 http:",ótima postagem sobrar # petr4 pelar usuário pridom o fórum da # advfn $ petr4 http :,Neutro
$petr3 - petrobras (petr) - ago/e - 02/04/2014 - 15h - distr. de jcp / aumento do capital http://t.co/vfiit5ahiw,$ petr3 - petrobras ( petr ) - ago/e - 02/04/2014 - 15h - distr . de jcp / aumentar do capital http : //t.co/vfiit5ahiw,Neutro
"opa, #vale5 voltando a operar abaixo dos r$27,70 ! de zóio galera !","opar , # vale5 voltar o operar abaixar dos r $ 27,70 ! de zóio galera !",Positivo
"maiores altas: elet3 +9,84% | llxl3 +9,78% | petr4 +8,13% | rsid3 +7,84% | petr3 +7,55%.","maior alto : elet3 +9,84 % | llxl3 +9,78 % | petr4 +8,13 % | rsid3 +7,84 % | petr3 +7,55 % .",Neutro
petr4 fechou na máxima!!!,petr4 fechar o máximo ! ! !,Positivo
ativo c/ vol financeiro superior à sua mm21-14h: goau4 ifnc igta3 indfut isee itub4 llxl3 mmxm3 mplu3 mult3 oibr3 oibr4 petr3 petr4 ptbl3,ativo c/ vol financeiro superior à suar mm21-14h : goau4 ifnc igta3 indfut isee itub4 llxl3 mmxm3 mplu3 mult3 oibr3 oibr4 petr3 petr4 ptbl3,Neutro
análise técnica completa para o pregão de hoje na @info_bmfbovespa  sobre a empresa @petrobras (petr4) http://t.co/uk8fq0a7rc,análise técnico completar parir o pregão de hoje o @ info_bmfbovespa sobrar o empresar @ petrobras ( petr4 ) http : //t.co/uk8fq0a7rc,Neutro
"voltei! após uma semana de férias no rio, tô de volta. e já entrei em vale5 a $27,63, com lançamento valee29, exerc. $28,70. ô trem bão!","voltar ! após umar semana de féria o rir , tô de voltar . e já entrar em vale5 o $ 27,63 , com lançamento valee29 , exerc . $ 28,70 . ô trem bão !",Positivo
"#sortedodia: ter perdido a alta de mais de 8% num único dia da $petr4 semana passada, mas ter realizado isso em apenas 4 dias úteis.","# sortedodia : ter perder o alto de mais de 8 % num único dia da $ petr4 semana passar , mas ter realizar isso em apenas 4 dia útil .",Positivo
$ligt3 - light s/a (ligt-nm) - alteracao do calendario de eventos corporativos http://t.co/xjnjgpnqcw,$ ligt3 - light s/a ( ligt-nm ) - alteracao do calendario de evento corporativo http : //t.co/xjnjgpnqcw,Neutro
a última indicação da #mrve3 resultou em 2.08 %. confira a nova indicação agora em http://t.co/kgt1yitbf7,o último indicação da # mrve3 resultar em 2.08 % . conferir o novo indicação agora em http : //t.co/kgt1yitbf7,Positivo
a última indicação da #mrve3 resultou em -1.22 %. confira a nova indicação agora em http://t.co/kgt1yitbf7,o último indicação da # mrve3 resultar em -1.22 % . conferir o novo indicação agora em http : //t.co/kgt1yitbf7,Neutro
"#vale5 rafael, está lá!!!! no obj!!!! se segurou até aqui parabéns!!! rt @rafaelsim78: @live_trade qual o seu objetivo?","# vale5 rafael , estar lá ! ! ! ! o obj ! ! ! ! se segurar até aqui parabém ! ! ! rt @ rafaelsim78 : @ live_trade qual o seu objetivo ?",Neutro
"ogx tem 40%  de piapara, pré sal, bloco bs-4.localiza-se próximo às descobertas gigantes libra e franco, e tb a recente descoberta da petr4","ogx ter 40 % de piapara , pré sal , bloco bs-4.localiza-se próximo às descobrir gigante librar e franco , e tb o recente descobrir da petr4",Neutro
"09/05/14 - 17:19: maiores baixas: elet3 -7,31% r$6,97, elet6 -5,43% r$10,10, oibr4 -4,95% r$2,11, jbss3 -3,38% r$7,73, goll4 -2,87% r$13,54.","09/05/14 - 17:19 : maior baixo : elet3 -7,31 % r $ 6,97 , elet6 -5,43 % r $ 10,10 , oibr4 -4,95 % r $ 2,11 , jbss3 -3,38 % r $ 7,73 , goll4 -2,87 % r $ 13,54 .",Neutro
"prumo logística, ex-llx, anuncia prejuízo de r$ 135,8 milhões em 2013: a prumo logística, ex-llx (llxl3), divu... http://t.co/lwmlkpqssk","prumar logístico , ex-llx , anunciar prejuízo de r $ 135,8 milhão em 2013 : o prumar logístico , ex-llx ( llxl3 ) , divu ... http : //t.co/lwmlkpqssk",Negativo
"ações que ajudaram na alta de hoje do ibov: petr3, +3,25%, petr4, +2,71%, bbdc4, +2,79%, itub, +2,90%. sanb11, +2,81%, bbas3, +0,58%...","ações que ajudar o alto de hoje do ibov : petr3 , +3,25 % , petr4 , +2,71 % , bbdc4 , +2,79 % , itub , +2,90 % . sanb11 , +2,81 % , bbas3 , +0,58 % ...",Positivo
"destaque - resultados b2w (btow3), ccr (ccro3) e americanas (lame3). leia as analises http://t.co/sewxbrgrrm","destacar - resultar b2w ( btow3 ) , ccr ( ccro3 ) e americano ( lame3 ) . ler o analisar http : //t.co/sewxbrgrrm",Neutro
boeing novinho na frota da gol!!! está valendo a pena investir em goll4! rsrs parabéns @voegoloficial http://t.co/mxghuqk3db,boeing novo o frota da gol ! ! ! estar valer o peno investir em goll4 ! rsrs parabém @ voegoloficial http : //t.co/mxghuqk3db,Positivo
"essa #krot3 é um mistério. tenho a olhada de perto desde os r$ 35. papel bem alugado mas não cede nunca!
@ferrisss",esse # krot3 ser um mistério . ter o olhar de perto desde o r $ 35. papel bem alugar mas não ceder nunca ! @ ferrisss,Neutro
"conheça a queridinha do ibovespa, papel é recomendado 15 vezes. chama-se vale5. uma empresa com fundamentos, produtiva e rentável.","conhecer o querido do ibovespa , papel ser recomendar 15 vezar . chama-se vale5 . umar empresar com fundamento , produtivo e rentável .",Positivo
"@pedrocerize https://t.co/trzn6adp88

tem tudo ai,compraram em 2010 petr3,bbas3","@ pedrocerize https : //t.co/trzn6adp88 ter tudo ai , comprar em 2010 petr3 , bbas3",Neutro
rt @joanarauhl: o afonso anda meio desaparecido,rt @ joanarauhl : o afonso andar mear desaparecer,Neutro
"intraday petr4: suportes 12,97 e 13,15 e resistências 13,56 e 13,79
intraday vale5: suportes 26,37 e 26,73 e resistências 27,70 e 28,31","intraday petr4 : suporte 12,97 e 13,15 e resistência 13,56 e 13,79 intraday vale5 : suporte 26,37 e 26,73 e resistência 27,70 e 28,31",Neutro
"ativo c/ vol financeiro superior 1,5 x à sua mm21-16h: mmxm3 mplu3 mrfg3 mult3 oibr3 oibr4 petr3 petr4 ptbl3 sanb11 smto3 suzb5 tcsa3","ativo c/ vol financeiro superior 1,5 x à suar mm21-16h : mmxm3 mplu3 mrfg3 mult3 oibr3 oibr4 petr3 petr4 ptbl3 sanb11 smto3 suzb5 tcsa3",Neutro
$elet3 - eletrobras (elet-n1) - demonstracoes financeiras de 31/12/2013 (cons) http://t.co/94fk4x66p1,$ elet3 - eletrobras ( elet-n1 ) - demonstracoes financeiro de 31/12/2013 ( cons ) http : //t.co/94fk4x66p1,Neutro
"ações de estatais: elet3, +2,73%, elet6, +0,91%, petr3, +0,19%, petr4, +0,12%, e bbas3, estável...","ações de estatal : elet3 , +2,73 % , elet6 , +0,91 % , petr3 , +0,19 % , petr4 , +0,12 % , e bbas3 , estável ...",Positivo
"desempenho das ações do itaú unibanco na semana passada:na bovespa - itub4:3,31% e itub3: 3,40%,na nyse - itub: 4,10%,índice bovespa:2,64%.","desempenhar das ações do itaú unibanco o semana passar : o bovespa - itub4:3,31 % e itub3 : 3,40 % , o nyse - itub : 4,10 % , índice bovespa:2,64 % .",Positivo
"cade coragem pra fazer um dt na #vale5 aí na casa dos 26,46, do jeito que as coisas andam é um stop na certa.. =/ sigo observando.","cade coragem pra fazer um dt o # vale5 aí o casar dos 26,46 , do jeito que o coisa andar ser um stop o certo .. =/ seguir observar .",Negativo
"rt @rivanews: nessa sexta-feira #hgtx3 registrou seu décimo pregão em baixa, veja o gráfico. http://t.co/tdalwhxqy9","rt @ rivanews : nessa sexta-feira # hgtx3 registrar seu décimo pregão em baixo , ver o gráfico . http : //t.co/tdalwhxqy9",Neutro
presidente da #petr4 dizer que compra da refinaria de pasadena não foi um bom negócio é palhaçada. mau negócio é ter que aturar ela.,presidente da # petr4 dizer que comprar da refinar de pasadena não ser um bom negócio ser palhaçada . mau negócio ser ter que aturar ele .,Negativo
"notas gerais

a brf (brfs3) concluiu e encerrou seu programa de compra de um milhão de ações da companhia em... http://t.co/c1gy13duj4",noto gerar o brf ( brfs3 ) concluir e encerrar seu programar de comprar de um milhão de ações da companhia em ... http : //t.co/c1gy13duj4,Neutro
"quiserem favoritar, fiquem a vontade:
vendam ciel3 daqui a 90 dias.","querer favoritar , ficar o vontade : vender ciel3 daqui o 90 dia .",Neutro
"fim do repique? 9 ações ignoraram a queda da bovespa nesta 5ª, vale é uma delas: liderando o... http://t.co/fhxzocqxxl #infomoney #vale5","fim do repicar ? 9 ações ignorar o quedo da bovespa nesta 5ª , valer ser umar delas : liderar o ... http : //t.co/fhxzocqxxl # infomoney # vale5",Negativo
"em 31.05.2004 petrobras pn - petr4 estava a r$ 7,20 - bovespa - http://t.co/aspbmyobsk http://t.co/ypkzyffh4h @stanleyburburin","em 31.05.2004 petrobras pn - petr4 estar o r $ 7,20 - bovespa - http : //t.co/aspbmyobsk http : //t.co/ypkzyffh4h @ stanleyburburin",Neutro
"rastreamento ações-gráfico diário-14h. analise se romper:  tble3 34,28 vivt4 47,56","rastreamento ações-gráfico diário-14h . analisar se romper : tble3 34,28 vivt4 47,56",Neutro
petr4 sobe 8% e a gremistada preocupada com o contrato das estruturas temporárias ... vida injusta essa!,petr4 subir 8 % e o gremistada preocupar com o contratar das estruturar temporário ... vidar injusto esse !,Negativo
"@live_trade mt, tá em vale5 tb? grato","@ live_trade mt , tá em vale5 tb ? grato",Neutro
"“@topbovespa: bm&amp,fbovespa (#bvmf3) fecha em 12 de junho e encurta pregão em demais dias de jogos do brasil. http://t.co/hs87wjavfg","“ @ topbovespa : bm & amp , fbovespa ( # bvmf3 ) fechar em 12 de junho e encurtar pregão em demais dia de jogo do brasil . http : //t.co/hs87wjavfg",Negativo
“@klarivasquez: “@omgthatspunny: http://t.co/trcbyrkkm0” @vikki_cruz3”,“ @ klarivasquez : “ @ omgthatspunny : http : //t.co/trcbyrkkm0 ” @ vikki_cruz3 ”,Neutro
"vale5, gráfico diário. fechamento em r$ 27.50 com queda de 0.40%. http://t.co/ten2kakcdv","vale5 , gráfico diário . fechamento em r $ 27.50 com quedo de 0.40 % . http : //t.co/ten2kakcdv",Neutro
"#vale5 - análise #ichimoku - pregão de sexta-feira, 23 de maio. http://t.co/uso61ac927","# vale5 - análise # ichimoku - pregão de sexta-feira , 23 de maio . http : //t.co/uso61ac927",Neutro
"ativo c/ vol financeiro superior à 1,5 x sua mm21-16h: autm3 bbrk3 bova11 bpha3 elet6 eqtl3 grnd3 qual3 show3 usim5","ativo c/ vol financeiro superior à 1,5 x suar mm21-16h : autm3 bbrk3 bova11 bpha3 elet6 eqtl3 grnd3 qual3 show3 usim5",Positivo
"#brpr3: no gráfico diário, rompeu ltb c/ volume 300% acima da média e fechando o dia na máxima. #whoknows ? http://t.co/llxxh56obs","# brpr3 : o gráfico diário , romper ltb c/ volumar 300 % acima da médio e fechar o dia o máximo . # whoknows ? http : //t.co/llxxh56obs",Positivo
